Category,SL No.,Product Name,Product Code,Type,Diameter,Height,Length,Width,Power (W),Lumens (L/W),Mounting,Light Distribution,Light Source,IP,CRI,CCT (K),Comments
Geometrical Shapes,1,AONA,GS 01 X 03,,300,60,,,20,2000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,2700 K,
Geometrical Shapes,1,AONA,GS 01 X 04,,450,60,,,30,3000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,3000 K,
Geometrical Shapes,1,AONA,GS 01 X 06,,600,60,,,40,4000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,4000 K,
Geometrical Shapes,1,AONA,GS 01 X 09,,900,100,,,60,6000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,5700 K,
Geometrical Shapes,1,AONA,GS 01 X 12,,1200,100,,,100,10000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,6500 K,
Geometrical Shapes,1,AONA,GS 01 X 15,,1500,150,,,120,12000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,6500 K,
Geometrical Shapes,1,AONA,GS 01 X 18,,1800,150,,,150,15000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,6500 K,
Geometrical Shapes,1,AONA,GS 01 X 24,,2400,150,,,200,20000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,6500 K,
Geometrical Shapes,2,AONA SLIM,GS 1S X 04,,450,40,,,30,3000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,2700 K,
Geometrical Shapes,2,AONA SLIM,GS 1S X 06,,600,40,,,40,4000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,3000 K,
Geometrical Shapes,2,AONA SLIM,GS 1S X 09,,900,50,,,60,6000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,4000 K,
Geometrical Shapes,2,AONA SLIM,GS 1S X 12,,1200,50,,,100,10000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,5700 K,
Geometrical Shapes,2,AONA SLIM,GS 1S X 18,,1800,50,,,150,15000,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,6500 K,
Geometrical Shapes,3,AONA C,GS 02 X 04,,450,60,,,30,2400,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,2700 K,
Geometrical Shapes,3,AONA C,GS 02 X 06,,600,60,,,40,3200,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,3000 K,
Geometrical Shapes,3,AONA C,GS 02 X 09,,900,60,,,60,4800,Pendant / Surface Mounted,Direct / Indirecr / Both,LED,,CRI 85,4000 K,
